formulaire029-equation019	h_{00}(t) = 2t^3-3t^2+1
formulaire018-equation024	p = \frac{(3k + 1)}{2}
122_em_358	P_d(u)
115_em_146	p \neq q
TrainData2_12_sub_13	\frac{\sin \theta + \cos \theta + \tan \theta}{x + y + z}
TrainData1_8_sub_1	\log_{2} 8 = 3
200923-1254-115	 { \mbox { S } } _ { d } \left ( \mbox { E } \right ) 
MfrDB3852	h ( x , y ) = {x^{y + \frac{1}{y}}}
MfrDB3157	{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}
formulaire035-equation069	\beta_{m}^{2}
formulaire036-equation041	ax^2+2bxy+cy^2
200923-1253-112	 \sum _ { { 4 = \mbox { y } } } ^ { { - d } } { { z - c } } 
82_miguel	q = \sqrt{(\frac{B-A}{C})^2 + 1} + \frac{B-A}{C}
2009212-1031-3	 \mbox { k } 
formulaire010-equation014	x_3=(2,2)
MfrDB1231	\frac{{2^{5}}}{3 + 1}
MfrDB3867	v = a \cdot b \cdot c
formulaire024-equation022	(u_i^n)
200924-1331-192	 \mu \left ( { l - \mbox { I } } \right ) 
formulaire002-equation065	14 \times 87 \neq -196
115_em_142	T_0(X)=1
RIT_2014_270	 c \neq 2 
formulaire003-equation037	k=f(a+h)-f(a)
RIT_2014_303	 p \geq 3 
200923-1556-95	{{\mbox{M}-\gamma}\neq{\mbox{b}-p}}
200923-1253-151	 { \mbox { d } } ^ { \mbox { u } } 
formulaire021-equation073	(r_2^n)
KME1G3_5_sub_16	\cos ( \frac \pi 2 + \alpha ) = - \sin \alpha
TrainData2_15_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
129_em_543	\sum _{i=0}^{10} x_i
formulaire035-equation028	n^{(r)}
RIT_2014_170	 \sin x - \sin y = 2 \cos (\frac {x + y} {2}) \sin (\frac {x - y} {2}) 
200923-1556-46	 \sum _ { { b = P } } ^ { k } { { { - \mbox { v } } - m } } 
rit_42140_2	 a \neq b \neq c 
200924-1312-181	 6.7 
MfrDB2451	1 + tg^{2} y = \frac{1}{\cos^{2} y}
3_em_11	\{T_N\}
MfrDB0004	\sum_{n = 0}^{\infty} \frac{1}{n !} = e
TrainData1_3_sub_21	A = \sqrt{a + \frac{1}{\sqrt{a + \frac{1}{\sqrt{a}}}}} + \sqrt{b}
TrainData2_9_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
TrainData2_17_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
formulaire039-equation047	\frac{36}{0,3}= 120
127_david	n! -1
18_em_16	m\geq2
KME2G3_12_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
formulaire016-equation032	1 + z = \frac{a_0}{a(t)}
200923-1251-260	 5.7 
200923-1553-273	 { - \left ( \mbox { F } \right ) } 
96_carlos	y = a S(t) = a \int_0^{t} \sin(\frac{1}{2}\pi s^2) ds
MfrDB0582	f ( x ) = {y^{2}} + 1
MfrDB0050	1 = \sin^{2} x + \cos^{2} x
200924-1312-17	 \mbox { pi } 
2009213-139-17	 { - \int \mbox { A } dV } 
RIT_2014_132	 1 m 
101_edwin	S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2
formulaire018-equation062	ev(p) = 10 \log (\frac{p}{1-p})
TrainData2_7_sub_1	x_{1} + x_{2} = x_{3}
2009213-137-47	 t 
2009213-139-251	 { { { - I } - { S } ^ { \mbox { s } } } \geq { - \mbox { E } } } 
127_em_484	\frac{8\pi r}{q(r)}
MfrDB2827	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
formulaire043-equation001	n(n+2\alpha)
MfrDB1546	{( a )^{- 1}} - 1
TrainData2_0_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
127_em_509	g(\theta) = G(\theta) - G
32_em_224	z=\sqrt{3}(\sqrt{2}+i)
2009213-137-55	 \frac { 1 } { \sin \left ( x \right ) + 1 } 
507_em_75	\left[ b \right]
formulaire012-equation031	a \times 0 = 0 \times a = 0
127_em_488	A = n R^2 \cos \left(\frac{\alpha}{2}\right) \sin\left(\frac{\alpha}{2}\right)
formulaire036-equation074	u_n = \frac{n^2 - n + 1}{n^2}
TrainData2_3_sub_39	\sin x - \sin y - \sin \left( x - y \right)
200926-1617-253	 p \left ( j \right ) 
formulaire030-equation013	f(x) = ax^2+ bx + c
MfrDB2027	\sqrt{\frac{1}{n} \sum_{k = 1}^{n} {( a_{k} )^{2}}} \geq \frac{1}{n} \sum_{k = 1}^{n} a_{k}
RIT_2014_41	 - \sqrt {3} 
200923-1251-158	 { 3 \sum _ { { k \geq \beta } } { B } } 
tig09	 \lim_{n \rightarrow \infty} t_{3n} = \frac{1}{2} \log 2 
2009213-139-157	 \mbox { n } 
126_em_477	T x_n
formulaire014-equation037	\frac{1}{1+x} = 1-x+x^2-x^3+\ldots+(-1)^nx^n+o(x^n)
KME2G3_19_sub_38	\frac 2 {\frac {3 m - 2 n \times 9^n - 9^m} {2 n - 1}}
200923-1253-55	 \frac { 1 } { \sin \left ( x \right ) + 1 } 
TrainData2_20_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
2009213-139-183	 { R } ^ { l } 
MfrDB1844	{2^{x + 1}} - {2^{x}} = 16
formulaire026-equation071	f(x_1) \leq f(x_2)
MfrDB1199	2 + 5
formulaire006-equation031	6 = 2^1(2^2-1)
MfrDB2775	\cos^{3} y = \frac{1}{4} ( \cos 3 y + 3 \cos y )
TrainData2_11_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
KME2G3_4_sub_39	\sin x - \sin y - \sin ( x - y )
TrainData1_0_sub_12	e = \sum^{\infty}_{k = 0} \frac{1}{k !}
MfrDB2061	7 + 5
104_em_42	T_{850}
formulaire036-equation015	50 \pm 151 \div 44
MfrDB2840	f^{'} ( x ) = \frac{1}{2 \sqrt{x}}
formulaire030-equation055	83 \pm 164 + (11 + (166 \times 30))
23_em_53	\frac{1}{3} + \frac{1}{3}
MfrDB2922	\frac{1}{{n^{2}}} \leq \frac{1}{n - 1} - \frac{1}{n}
formulaire002-equation029	\frac{dx(t)}{dt} = f(x(t),t)
200923-1253-124	 \frac { { r } ^ { \mbox { F } } } { { u \mbox { M } } } 
512_em_290	2\sum_{x=1}^n x - \sum_{x=1}^n 1
111_leissi	\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
200924-1331-202	 { N + L } 
124_em_392	(A_{N-1} \dots A_0) = N_k
KME2G3_20_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
formulaire035-equation072	\lim_{x \rightarrow - \infty}\frac{f(x)}{x} = a
MfrDB3013	\sum_{n = 1}^{\infty} ( b_{n} - b_{n + 1} )
200926-1617-56	 2 \alpha + 3 \sqrt { \beta } 
TrainData2_21_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
123_em_389	z^2+w^2
formulaire021-equation052	a^{ij}
formulaire030-equation000	154 + 13 \leq 167
formulaire036-equation059	\cos 2\phi = 2\cos^2 \phi - 1
MfrDB1252	2 l o g ( x - 3 ) = l o g ( 5 - x )
200924-1312-68	 \tan \left ( \frac { \pi } { 2 } \right ) = \infty 
TrainData1_1_sub_28	\left( z^{\frac{n}{2}} + y^{\frac{n}{2}} \right) \left( z^{\frac{n}{2}} - y^{\frac{n}{2}} \right) = x
formulaire045-equation063	(6\sqrt{21}-27 )x^2+3x+4\sqrt{21}-18
MfrDB1591	E_{k} = \frac{1}{2} m_{1} {v_{1}^{2}} + \frac{1}{2} m_{2} {v_{2}^{2}}
formulaire051-equation028	d=1
103_em_12	(Gz)
RIT_2014_236	 n \neq a 
200922-947-215	 { u } ^ { { \mbox { M } } _ { m } } \left ( \mbox { X } \right ) 
MfrDB1935	a x + b \lt c
2009213-137-240	 \tan \mbox { r } 
2009212-952-71	 { \mbox { w } \mbox { q } } 
2009210-947-94	 p 
formulaire039-equation008	(5n^2-n)+1
509_em_97	(d - 1)(d + 1) \!
MfrDB3557	x \lt \frac{c - b}{a}
200923-1253-10	 { q } _ { \mbox { v } } 
TrainData2_1_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
200922-949-104	 \frac { { \mbox { v } + 1 } } { { - \mbox { h } } } 
MfrDB1686	\frac{5 x - 7}{3} \leq 2 x + 5
formulaire016-equation007	x=x_0 \frac{y-y_0}{v}=\frac{z-z_0}{w}
TrainData1_4_sub_15	F_{n} = F_{n - 1} + F_{n - 2}
TrainData2_5_sub_73	\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
200923-1251-220	 { 839.2 E } 
2009213-139-32	 a x ^ 4 + b x + c = 0 
MfrDB3437	v = v_{0} t - g {t^{2}}
MfrDB2974	\sum_{n = 1}^{\infty} ( b_{n} - b_{n + 1} )
KME2G3_1_sub_28	z_1^2 + 1^z - z_2^2 + 2^z
200923-131-325	 m 
200922-947-10	 { \mbox { P } } ^ { \mbox { eo } } 
MfrDB2089	( {y^{4}} - 1 )  ( {y^{2}} - 1 )
200923-1251-148	 { y + \left ( \mbox { T } \right ) } 
2009213-139-101	 { { \mbox { k } - \mbox { a } } = { \mbox { h } - f } } 
TrainData2_4_sub_9	\sqrt{b^{2} - 4 a c}
200923-1253-182	 \left [ \sqrt { \mbox { c } } \right ] 
502_em_6	u(x, y) = B \sin(n \pi x)\left(e^{n \pi y} - e^{-n \pi y}\right)
200923-1553-187	 c 
formulaire024-equation068	n+1
TrainData2_24_sub_39	\sin x - \sin y - \sin \left( x - y \right)
formulaire011-equation063	2\pi n
2009210-947-14	 a + \sqrt { \frac { b + c } { d + f } } 
formulaire036-equation070	134 + (61 \times 66) \geq 4159
200925-1126-178	 x 
TrainData2_1_sub_71	\frac{\sin B + \sin C}{\cos B + \cos C}
formulaire016-equation023	\beta = \cos(\theta)
rit_4210_2	 b \times h 
200923-131-109	 { \mbox { q } } ^ { \mbox { c } } 
MfrDB3012	h ( x , y ) = {x^{y + \frac{1}{y}}}
37_em_0	g_\theta = g  \sin\theta
200923-1253-273	 { { \mbox { r } } _ { \mbox { n } } } ^ { V } 
MfrDB3528	s = s_{0} t + \frac{1}{2} a {t^{2}}
formulaire015-equation003	k=459
125_em_433	(v, r)
18_em_23	\frac{18 \div 6}{24 \div 6} = \frac{3}{4}
formulaire033-equation067	2mgl
RIT_2014_288	 log (\frac {a} {b}) = log (a) - log (b) 
65_david	x = r \cos \theta
formulaire021-equation059	f(z)=\sum_{n=-\infty}^{+\infty} a_n{(z-a)}^n
2009213-137-153	 \mbox { R } 
formulaire017-equation050	181 \pm (129 + 117) \div (61 + 180)
TrainData2_5_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
124_rosario	\sum_{i=1}^k \frac{x^{a_i}}{1-x^{b_i}} = \frac{1}{1-x}
23_em_72	\sum_{i=1}^n x_n=\sum_{i=1}^n y_n
formulaire023-equation067	p_0, p_1 \ldots
2009213-137-187	 i 
TrainData2_8_sub_1	x_{1} + x_{2} = x_{3}
MfrDB1715	\int\limits_{a}^{a} f ( x ) dx = 0
200922-949-137	 { n } _ { \mbox { eH } } 
2009213-139-26	 a + \frac { \sqrt { b + c } } { 2 } 
81_caue	A_{2k} = \frac{2RA_k}{2R + \sqrt{4R^2 + A^2_k}}
515_em_354	4\sqrt{3}
formulaire031-equation043	\gamma^5=\gamma^0\gamma^1\gamma^2\gamma^3
TrainData2_5_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
KME2G3_26_sub_30	\sum_{i = 2 n + 3 m}^{1 0} i x
TrainData2_13_sub_63	\frac{1}{a} F \left( a x + b \right) + C
122_em_346	\left|a-\frac{p}{q}\right| \geq \frac{C}{q^d}
KME2G3_19_sub_81	\pi \int_c^d \{ g ( y ) \}^2 d y
200926-1550-73	 a ^ { b ^ { c ^ d } } 
128_em_537	d \in EIC
formulaire039-equation020	((95 - 176)  (180 + 31))  (179 - 160 - 99) \leq 0
formulaire017-equation074	n=k+2t
105_mijail	\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
502_em_24	61 \leq x \leq 69
2009213-139-13	 \sqrt { 1 + \sqrt { 1 + z ^ 2 } } 
formulaire006-equation068	y = \frac{1}{x}
formulaire013-equation002	\frac{dg_{i}}{ds}=\beta_{i}(g_{1},\ldots,g_{n})
200923-1553-225	 { o } _ { \mbox { X } } 
formulaire047-equation054	\phi(a, b+1, n+1)=\phi(a, \phi(a, b, n+1), n)
2009213-137-149	 z 
MfrDB0892	a = b + 1
RIT_2014_261	 d \neq 0 
200924-1331-180	 \left [ { \mu } ^ { \mbox { s } } \right ] 
200923-131-313	 { \int q d \sigma + { \mbox { a } } ^ { q } } 
501_em_21	\theta \rightarrow 0 \!
514_em_344	H=H_1+H_2+\ldots
formulaire010-equation036	\phi(n)
formulaire009-equation007	X_{-j}
formulaire015-equation054	\exists k, x_k
formulaire035-equation070	135 \div (70 - 39 - 143) \neq 2
2009212-1031-87	 \frac { \mbox { q } } { n } 
RIT_2014_186	 \sin (3 x) = - 4 \sin ^ {3} (x) + 3 \sin (x) 
formulaire028-equation054	{a_1}^q = (x_1 n+ b_1)^q
formulaire004-equation043	y = z x
200923-1251-18	 a ^ x + b ^ x + \frac { c } { 2 } 
formulaire054-equation028	n = 2 k
200923-1254-72	 \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } 
518_em_432	q\geq 1
200923-1251-17	 \mbox { l } 
200922-947-74	 e_ { f_ { g_h } } 
formulaire011-equation046	y(\alpha)=\alpha \theta(\alpha)
117_alfonso	y^2 \pm \sqrt{u-p}\Bigg(y - \frac{q}{2(u-p)} \Bigg) + \frac{u}{2} = 0
MfrDB0666	x = \sum a + \sum b
KME2G3_13_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
formulaire058-equation053	\pi (n)
200922-947-232	 \int \left ( x \right ) dT 
MfrDB3152	\sum_{n = 0}^{\infty} f_{n} ( x )
formulaire006-equation059	m(n-1)
formulaire023-equation034	\lim_{x \rightarrow - \infty}\frac{f(x)}{x} = \pm \infty
formulaire047-equation053	3n^2+2n
formulaire021-equation028	a+b+c
106_leo	y^4 + y + 1 = 0
TrainData2_17_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
200923-1254-319	 \frac { \left [ { - \mbox { X } } \right ] } { \left [ \mbox { v } \right ] } 
90_alfonso	y = r \sin \theta
200924-1331-42	 \frac { 1 } { 3 } \pi r ^ 2 h 
2009210-947-69	 \int ^ { { - \mbox { p } } } _ { \sum { j } } { \mbox { w } \mbox { x } } d \alpha 
506_em_62	a^2+a=a^2+a+1-1=-1
formulaire043-equation023	d_{xz}
TrainData2_10_sub_61	\int \left( 2^{x} - 3 e^{x} \right) d x
formulaire026-equation063	x -x = 0
MfrDB2238	x - 3 = 2
formulaire036-equation026	f(x+r) = f(x)
rit_4260_1	 \frac {8 \sqrt {2}} {3} 
200925-1126-147	 \frac { { \sigma + \mbox { Y } } } { { n j } } 
103_em_3	(E_{ij})
RIT_2014_110	 f ^ {7} _ {a} 
KME2G3_19_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
TrainData2_20_sub_1	x_{1} + x_{2} = x_{3}
TrainData2_26_sub_88	3 0 \times 2 9 x^{2 8}
200923-1251-225	 0.4 
TrainData1_7_sub_12	e = \sum^{\infty}_{k = 0} \frac{1}{k !}
2009210-947-21	 0 
200924-1331-19	 x ^ 2 + y ^ 2 = z ^ 2 
200925-1126-180	 \mbox { y } 
79_rosario	p = \sqrt{a^2 + b^2 - 2ab \cos A}
MfrDB1170	3 {x^{2}} + 5 x + 3 = 0
formulaire026-equation039	p(t)
TrainData2_0_sub_9	\sqrt{b^{2} - 4 a c}
formulaire032-equation004	(q + pe^{it})^n
200922-947-219	 { - \sum _ { { \mbox { a } = 7 } } ^ { P } { Y } } 
MfrDB1394	E = m {c^{2}}
200926-1617-160	 \sqrt { S } 
200925-1126-135	 \mbox { mC } 
MfrDB1486	t = \frac{t_{0}}{\sqrt{1 - \frac{{v^{2}}}{{c^{2}}}}}
formulaire056-equation024	(n_1,n_2)+(n_2,n_1)=(n_1+n_2,n_1+n_2)
formulaire013-equation047	u = 3 j
118_leissi	P(x) = \sum_{i=0}^{n} a_j x^j
formulaire005-equation004	t^5 + t - a
76_leissi	a = b \cos C + c \cos B
200922-949-27	 \sqrt { { \mbox { y } + l } } 
82_Frank	q = \sqrt{(\frac{B-A}{C})^2 + 1} + \frac{B-A}{C}
200922-947-7	 \sum _m f \left ( m + 3 \right ) 
MfrDB2858	\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} )
200923-1251-115	 P 
200922-949-151	 \frac { { r - \sum { 2 } } } { { \mbox { L } } _ { \mbox { q } } } 
MfrDB1867	\int\limits_{0}^{\infty} f ( x ) dx = \lim_{b \to \infty} \int\limits_{0}^{b} f ( x ) dx
518_em_421	\sum F_y
formulaire010-equation062	(-\sin(a), \cos(a))
130_edwin	\frac{1}{4}+\Bigg( \frac{1}{4} \Bigg)^2 + \Bigg( \frac{1}{4} \Bigg)^3+\cdots = \frac{1}{3}
520_em_464	\forall \lambda \in [\lambda_0,\lambda_\infty ],\exists \lambda_i
RIT_2014_118	 a \neq b 
KME2G3_8_sub_52	\lim_{t \rightarrow 0} \frac {\cos ( \frac x 2 - t )} {- 2 t}
200923-1253-108	 \sqrt { { \mbox { i } + r } } 
formulaire043-equation003	\cos x-\sqrt{-1}\sin x
MfrDB1254	a_{n} = a_{1} + ( n - 1 ) d
94_danilo	"\frac{a}{\sin A} = \frac{b}{\sin B} = \frac{c}{\sin C}
formulaire025-equation034	j^2 = +1
200923-1253-145	 { - u } 
rit_4270_2	 \frac {a} {b} 
TrainData2_21_sub_88	3 0 \times 2 9 x^{2 8}
200922-947-60	 \frac { \beta + \gamma } { \theta } 
TrainData2_20_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
formulaire015-equation044	X_1, X_2, \ldots
TrainData2_13_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
RIT_2014_20	 \lbrack e \rbrack 
formulaire011-equation042	p^2\neq 0
KME2G3_0_sub_70	[ \frac 2 3 ( 1 + \frac 9 4 x )^{\frac 3 2} \frac 4 9 ]_0^4
MfrDB1705	\int\limits_{0}^{\infty} \sqrt{x} {e^{- x}} dx = \frac{1}{2} \sqrt{\pi}
MfrDB1616	\sin 32 \pi
MfrDB3068	\lim_{n \to \infty} \frac{n !}{\sqrt{2 \pi n} ( \frac{n}{e} )} = 1
formulaire016-equation021	a+0=a
formulaire002-equation015	89 \times ((155 \times 50) \div 132) \neq -1372
MfrDB2082	{x^{y}} - {y^{x}}
200923-1553-177	 { - \left [ { X - C } \right ] } 
KME2G3_11_sub_28	z_1^2 + 1^z - z_2^2 + 2^z
formulaire039-equation061	2^8=256
200923-1253-30	 \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } 
MfrDB1909	\sin x + \sin y = 2 \sin ( \frac{x + y}{2} ) \cos ( \frac{x - y}{2} )
200924-1312-118	 \left [ { Y - f } \right ] 
formulaire055-equation022	\sqrt{n}
110_miguel	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
2009210-947-16	 31 
formulaire019-equation002	a_1, b_1, a_2, b_2,\ldots a_g, b_g
200923-1254-301	 \sqrt { { \phi + \mbox { c } } } 
200926-1617-71	 \sqrt { \mbox { h } } 
formulaire003-equation016	r=\sqrt{\theta}
103_em_22	B(t)-B(s)
200925-1126-56	 2 \alpha + 3 \sqrt { \beta } 
106_em_108	P_{nmm}
KME1G3_7_sub_22	\lim_{x \rightarrow \infty} \int_0^x e^{- y^2} d y = \frac {\sqrt \pi} 2
2009213-137-94	 { \sqrt { m } } ^ { \mbox { m } } 
200923-131-344	 { Y + \mbox { e } } 
MfrDB2225	2 + 3 = 5
formulaire016-equation018	10a_5a_2 - 2a_4a_3 = 0
110_alfonso	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
2009210-947-189	 \mbox { ac } 
200923-131-202	 { \mbox { Fl } } _ { X } 
200924-1331-88	 \beta 
MfrDB3399	\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0
MfrDB2202	| a - b | \leq | a - c | + | c - b |
110_fujita	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
formulaire030-equation006	\gamma=\frac {7}{5}
formulaire020-equation024	\lim_{n \rightarrow \infty}(u_n - u_{n-1})= l
formulaire038-equation055	65 + 28 + 151
formulaire016-equation010	136 \times (60 - 196 + 188) \geq 7071
formulaire034-equation018	5+9+5=19
TrainData1_5_sub_19	x = \frac{- b \pm \sqrt{b^{2} - 4 a c}}{2 a}
90_carlos	y = r \sin \theta
200923-1251-238	 \sqrt { \alpha } 
formulaire055-equation064	e(t)
2009212-952-117	 { \cdots + \mbox { s } } 
rit_4290_1	 a \leq x \leq 6 
TrainData2_6_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
82_Fabricio	q = \sqrt{(\frac{B-A}{C})^2 + 1} + \frac{B-A}{C}
2009213-139-141	 { \cdots - 6 } 
MfrDB2287	5 0 ! \cdot n = 4 8 !
101_david	S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2
96_user0	y = a S(t) = a \int_0^{t} \sin(\frac{1}{2}\pi s^2) ds
formulaire036-equation048	\sum_{i=1}^5 d_i^2=24
200923-1251-83	 \mbox { v } 
123_em_386	\Delta F \lt 0
200923-1553-270	 06 
MfrDB1526	a x + b \lt c
MfrDB3460	{x^{2}} - x - 6 \lt 0
200923-1253-146	 { 1 + { \mbox { G } } ^ { g } } 
formulaire023-equation018	\frac{a}{b}
formulaire030-equation035	162 \pm (82 \div 175) - 78
10_em_86	M \in S
formulaire011-equation064	p^a = \pi = p
formulaire029-equation068	i_{3} i_{1}=i_{2}
200923-1253-42	 \frac { 1 } { 3 } \pi r ^ 2 h 
MfrDB1796	\frac{10 0 !}{9 7 ! - 6 !}
MfrDB3405	{x^{y}} - {y^{x}}
37_em_12	u(x_b)=u_b(x_b)
formulaire012-equation057	c(x, y) = h(x - y)
MfrDB3245	v_{c} = v_{c - 1} ( \frac{r - c}{c} )
2009213-137-4	 \mbox { Sh } 
200926-1550-68	 \tan \left ( \frac { \pi } { 2 } \right ) = \infty 
MfrDB3870	\frac{a_{1} + a_{2} + {a^{3}}}{1 - x}
formulaire029-equation012	{({d t})^2} = \frac{l (d \theta)^2}{2g (\cos(\theta) - \cos(\theta_0))}
formulaire008-equation001	\sqrt{1-z^2}
formulaire018-equation046	z=r e^{i\theta}
formulaire004-equation046	\frac{b-a}{n}\leq\alpha
200926-1550-56	 2 \alpha + 3 \sqrt { \beta } 
123_em_385	\gamma=\frac{4 \pi^2 m V_0}{p_0 S^2 T^2}
MfrDB3502	\frac{\sqrt{99 {x^{7}}}}{11 {x^{3}}}
MfrDB3201	\lim_{x \to c} f ( x ) = f ( c )
MfrDB3098	f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )
TrainData2_11_sub_41	\frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta}
94_Frank	\frac{a}{\sin A} = \frac{b}{\sin B} = \frac{c}{\sin C}"
formulaire003-equation063	x( \theta )=a\sin(\theta)
200926-1617-250	 \mbox { xi } 
formulaire046-equation060	(29 \div 120) - (36 - (21 \times 149)) \geq 3092
2009212-952-59	 \mbox { o } 
formulaire019-equation013	(a + b)^4 = a^4 + 4a^3b + 6a^2b^2 +4ab^3 + b^4
formulaire026-equation044	(1-j)m = c-ja
formulaire019-equation026	a^2 + b^2 = c^2
TrainData2_24_sub_29	x^{i + 2 j \times k^{3} - 2 \frac{j}{i}}
79_maira	p = \sqrt{a^2 + b^2 - 2ab \cos A}
MfrDB0861	1 + 1 = 2
122_em_361	M(r)
200922-1017-111	 { - { 209.4 \frac { c } { u } } } 
RIT_2014_256	 c _ {1}, c _ {2 }, \ldots , c _ {m }, c _ {m + 1} 
MfrDB1933	| a - b | \leq | a - c | + | c - b |
23_em_69	X \leq 15
KME2G3_5_sub_81	\pi \int_c^d \{ g ( y ) \}^2 d y
MfrDB3145	\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} )
518_em_416	{x^3+8y^3}
formulaire001-equation060	42 - 85 - 18 \geq -25
200923-1254-159	 \sum { \mbox { u } } 
200924-1312-133	 \sum { \mbox { t } } 
200923-1553-261	 { { - d } + \mbox { y } } 
TrainData2_11_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
200922-947-130	 { \sin } ^ { P } \mbox { L } 
200924-1331-59	 \mbox { G } 
200926-1550-55	 \frac { 1 } { \sin \left ( x \right ) + 1 } 
MfrDB0100	{y^{2}} = {x^{3}} + a x + b
TrainData2_3_sub_9	\sqrt{b^{2} - 4 a c}
formulaire029-equation067	( 3 , 4 , 5 )
105_em_86	A^n+\ldots+c_0I_n
TrainData2_12_sub_71	\frac{\sin B + \sin C}{\cos B + \cos C}
513_em_323	\sum \pi r^2 = \pi \sum r^2
200923-1251-114	 { \mbox { r } \left ( \left ( \sum { F } \right ) \right ) } 
2009213-139-41	 { \mbox { u } = a } 
110_rosario	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
RIT_2014_263	 x _ {1} = a _ {11} y _ {1} + a _ {12} y _ {2} 
formulaire038-equation053	n^2-3n+3
200925-1126-31	 \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a } 
formulaire018-equation005	99 \times 182 = 18018
514_em_342	\sqrt {x} = \frac {x} {\sqrt {x}}
formulaire011-equation032	\int_{-\infty}^{+\infty} p_X(x) dx = 1
formulaire019-equation056	k = i_2
formulaire008-equation049	\phi(u,v)
formulaire026-equation049	j = -\frac{1}{2} + i \frac{\sqrt{3}}{2} = e^{i \frac{2\pi}{3}}
200922-1017-92	 { - { q \mbox { m } } } 
TrainData2_13_sub_61	\int \left( 2^{x} - 3 e^{x} \right) d x
116_em_160	M=(\alpha_{ik}.\beta_{jl})
formulaire033-equation050	127 + 85 - 198 \geq 13
200925-1126-182	 { \tan } ^ { \mbox { n } } { \mbox { X } } ^ { { \mbox { L } + q } } 
KME2G3_11_sub_81	\pi \int_c^d \{ g ( y ) \}^2 d y
ritm_425_0	 \cos 5 x = 16 \cos ^ {5} x - 20 \cos ^ {3} x + 5 
107_herbert	a^2 + b^2 = (a+bi)(a-bi)
104_em_53	L_0
MfrDB3057	\sum_{i = 0}^{n} n i = {2^{n}}
MfrDB1236	\frac{a_{1} + a_{2} + {a^{3}}}{1 - x}
200923-1553-266	 \lambda 
200924-1331-102	 \left [ \mbox { z } \right ] 
513_em_309	(c+id) (c-id)
200923-1253-217	 { \mbox { k } - \sum { o } } 
formulaire003-equation069	0 = (0, 0, \ldots, 0)
formulaire006-equation029	r = \frac {p}{2\pi}
KME2G3_1_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
RIT_2014_195	 \sqrt {\sqrt {x} ABOVE {n}} ABOVE {m} 
516_em_383	 r(x) 
2009213-139-234	 { \cdots - 5 } 
200922-949-138	 { - L } 
formulaire051-equation067	(\pm1, \pm1, \pm1)
formulaire007-equation038	(a + c)^2 = 12
